id,name,market,alias,wins,losses,ties,points_for,points_against,points_rank,touchdown_diff,conf_h2h,rank_conference,rank_division,streak_type,streak_length,streak_desc,strength_of_schedule_wins,strength_of_schedule_total,strength_of_victory_wins,strength_of_victory_total,division,conference
97354895-8c77-4fd4-a860-32e62ea7382a,Patriots,New England,NE,14,2,0,441,250,4,24,0,1,1,win,7,Won 7,113,256,95,224,AFC East,AFC
4809ecb0-abd3-451d-9c4a-92a90b83ca06,Dolphins,Miami,MIA,10,6,0,363,380,35,2,0,6,2,loss,1,Lost 1,117,256,55,160,AFC East,AFC
768c92aa-75ff-4a43-bcc0-f2798c2e1724,Bills,Buffalo,BUF,7,9,0,399,378,26,8,0,11,3,loss,2,Lost 2,124,256,38,112,AFC East,AFC
5fee86ae-74ab-4bdd-8416-42a9dd9964f3,Jets,New York,NYJ,5,11,0,275,409,58,-19,0,13,4,win,1,Won 1,133,256,25,80,AFC East,AFC
cb2f9f1f-ac67-424e-9e72-1475cb0ed398,Steelers,Pittsburgh,PIT,11,5,0,399,327,20,11,0,3,1,win,7,Won 7,127,256,75,176,AFC North,AFC
ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Ravens,Baltimore,BAL,8,8,0,343,321,30,-7,0,9,2,loss,2,Lost 2,128,256,47,128,AFC North,AFC
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Bengals,Cincinnati,CIN,6,9,1,325,315,32,1,0,12,3,win,1,Won 1,134,256,32,96,AFC North,AFC
d5a2eb42-8065-4174-ab79-0a6fa820e35e,Browns,Cleveland,CLE,1,15,0,264,452,61,-27,0,16,4,loss,1,Lost 1,141,256,5,16,AFC North,AFC
82d2d380-3834-4938-835f-aec541e5ece7,Texans,Houston,HOU,9,7,0,279,328,39,-11,0,4,1,loss,1,Lost 1,129,256,62,144,AFC South,AFC
d26a1ca5-722d-4274-8f97-c92e49c96315,Titans,Tennessee,TEN,9,7,0,381,378,30,3,1,7,2,win,1,Won 1,119,256,66,144,AFC South,AFC
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Colts,Indianapolis,IND,8,8,0,411,392,30,5,0,10,3,win,1,Won 1,126,256,52,128,AFC South,AFC
